isos,enu_tfec_total_pc,enu_trp_total_pc,enu_hhcops_elec_pc,enu_hhcops_total_pc,ns_prosupp_pc,ns_hale,ns_unempl,ns_edu_bas,ns_h20_acc,ns_san_acc,ns_undernourished,ns_pov_gap_320,ns_pov_hcratio_nationalline,ns_doctors,ps_roadkm_pc,ps_gini,ps_gdp_ppp_pc,ps_ge,ps_va,ps_growth,ps_xpd_hlth_gov2tot,ps_xpd_gov_edu2tot,ps_soc_sec_cov,ps_unions,ps_corp_power,ps_fdi,ps_veh_pc,ps_pop_urb,ps_age_1564,ps_res_rent,ps_elec_acc,ps_nsolfuel_acc,ps_rail_pkmpc,ps_infra_qual,ps_tax_rev,ps_aid,ps_remitt,ps_soc_contr,ps_expo,ps_impo,ps_hdd,ps_cdd,ps_tmin,ps_tmean,aux_pop,aux_gdp_ext,aux_tfec_ext
MWI,,,,,63.27,50.45564,7.6,43.96667,84.7,39.7,20.3,53.6,50.7,0.019,0.0009840491,39.1,1087.121,-0.4911953,-0.2226822,0.2492666,56.12194,,42.45596,5.5,12.49985,-0.8675896,0.008152639,15.798,50.85053,12.06167,9.8,3.086507,,2.78,,0.157963,0.4694939,,26.2034,41.6782,124,9344,16.6,21.9,15700440,17045630000,
MYS,69.02567,21.14924,7.865188,12.72971,80.13,66.14621,3,67.05444,97.9,95.9,3.4,0.15,1.15,1.3273,0.00497565,42,22670.29,1.0099,-0.3332165,3.732216,55.22338,,,9.3,148.3855,2.829059,0.3987519,72.526,68.33988,9.95386,100,99.99,0.0001134659,3.43,15.61316,0.0000566709,0.4114598,,79.29991,68.54184,1,21354,21.2,25.4,29021940,671122500000,2003259000
NAM,27.38775,10.73334,,,58.2,53.75616,16.7,52.01889,88.8,33.1,33.9,15.05,23.05,0.374,0.0192604,56,9249.688,0.1310832,0.3697218,2.80509,58.94202,,16.14501,,0.009286579,8.276317,,43.666,59.1274,2.51202,47.26256,45.00772,,2.72,23.11222,0.02103121,0.1036358,,43.41161,60.15507,3367,5742,12.7,19.95,2291645,20674980000,62763000
NCL,,,,,88.59,,,,98.5,100,7.3,,,,,,,,,0,,,,,,,0.4247104,68.509,67.30205,,59.32891,,,,,,,,,,,,19.1,,259000,,
NER,4.859495,0.8236663,0.1187926,3.718406,81.65,52.12804,5.1,19.79333,56.2,10.1,10.6,36.6,48.9,0.0513,0.001074463,31.7,859.7866,-0.7069674,-0.3352402,2.801442,36.20435,19.19202,4.14231,,,12.25863,,17.986,47.20201,20.31109,14.4,3.180027,,2.45,,0.1388024,2.187244,,21.86317,39.36487,642,15581,19.4,27.15,17635780,15576830000,85701000
NFK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,28.9818,2.173961,0.4532027,23.45982,62.78,52.80138,7.5,42.486,65.5,29.9,7,40.3,46,0.3827,,39.1,5290.63,-0.9991663,-0.7345178,1.806021,31.31686,,4.589192,,12.19324,1.533762,0.01979311,45.234,53.17276,18.64093,55.6,24.84682,,2.27,1.556757,0.004762141,4.45662,,31.54659,12.98578,215,17645,20.8,26.8,168240400,909730400000,4875909000
NIC,15.6904,4.210457,1.12795,8.664405,65.57,67.81609,7.1,48.39,86.2,66.8,19,3.4,29.6,0.8759,0.004066167,42.8,4374.824,-0.889406,-0.5412161,4.647791,52.97585,,45.63551,5.3,,7.354264,0.07765822,57.841,63.53712,6.53665,77.9,46.20539,,2.216281,15.14309,0.0543417,9.735754,,47.4693,67.70809,1,15024,20.3,24.9,5877034,26377150000,92213000
NIU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,,,,
NLD,152.5558,28.41976,13.31432,47.58423,111.94,69.76247,5.3,89.35323,100,97.8,2.5,0,,3.2468,0.008274623,26.3,45948.54,1.799707,1.626893,-0.1245201,86.52489,11.61935,,18.8,78.51061,28.92284,0.5347089,88.575,66.44006,0.952424,100,100,0.001020474,4.15,19.60819,,0.1979286,38.35557,79.50337,69.76505,7785,398,5.5,9.25,16754960,778249300000,2556066000
NOR,170.7567,38.39936,46.22768,57.65922,110.99,69.43176,3.2,90.99223,100,98.1,2.5,0.1,,4.2374,0.01870452,24.7,62922.82,1.892404,1.752518,0.533998,84.89682,17.45271,,53.1,47.62852,5.425545,0.5985765,79.665,66.16812,11.89266,100,100,0.0005507542,3.86,26.98957,,0.150387,18.98647,40.68244,27.53497,20101,15,-2,1.5,5018573,328213900000,856955000
NPL,15.20884,1.082598,0.2537407,13.0219,67.93,59.96627,2.7,45.23111,88.9,41.1,9,15.8,25.2,0.5036,0.0003943199,38.4,2154.793,-0.9860057,-0.6828322,2.91034,41.86333,,43.48538,,,0.4880065,,17.518,59.44958,5.516571,76.3,20.45166,,1.87,13.86214,0.04429826,25.42735,,10.07389,33.58431,4866,5914,1.5,8.1,27500520,59228860000,418251000
NRU,,,,,,,,,96.3,65.6,,,,1.3725,,,7905.089,-0.5578845,1.102356,0,93.60197,,,,,,,100,,,,,,,,,,,70.6424,50.60141,,,24.5,,10079,,
NZL,122.8686,43.11404,17.86234,24.99648,91.77,68.72543,6.9,91.67667,100,,2.5,,,2.6788,0.021529,32.3,33280.25,1.790028,1.63599,2.043295,82.80474,19.35049,,20.3,29.93482,2.116124,0.6542501,86.2,65.90776,2.166794,100,100,,3.42,28.4201,,0.2614592,2.884043,28.86151,28.16579,2592,335,6,10.55,4408100,145756100000,541617000
OMN,207.1549,44.44075,17.52402,19.05821,87.88,64.51424,7.4,60.32791,93.3,96.7,5.1,,,2.0363,0.01698921,,42619.5,0.2626997,-0.9839407,-6.221426,82.4312,,,,39.67869,1.114014,0.2284785,76.204,74.28966,40.13021,97.69783,100,,2.96,2.613335,,0.05110158,,71.48913,44.87401,263,15204,20.8,25.6,3545192,148703100000,734404000
PAK,16.95432,3.029135,0.9494835,9.010484,64.57,56.45291,5.1,37.16673,90.9,58.3,21,10.45,32.9,0.8748,0.0014879,35.1,4148.942,-0.7889327,-0.8837974,0.9684443,36.90448,11.04063,16.79939,,15.23608,0.3823791,0.01518899,37.428,59.82657,4.459595,93.6,40.96276,0.0001162339,2.69,10.09936,0.01056947,6.235139,,12.39666,20.40884,3615,11707,13.2,20.2,177392300,791333200000,3007565000
PAN,37.29485,13.77358,6.219948,11.97486,77.32,68.65724,4,65.74111,93.7,73.4,10.5,3.6,26.5,1.5969,0.00404326,46.6,18452.67,0.3133986,0.4572264,8.677101,68.61818,,63.45372,10,31.0751,8.464323,0.1422625,65.698,64.73386,0.5040286,90.87544,85.07867,,2.94,,0.001378413,1.028413,,75.19126,82.86729,1,22130,21.3,25.4,3743761,69870440000,139623000
PER,22.56564,8.795784,1.899149,6.283877,74.89,68.80676,3.6,66.43378,85.5,73.7,9.4,4.3,25.8,1.1164,0.004664382,46.4,11185.81,-0.1576194,0.06970557,4.809499,54.99793,14.37909,89.521,4.2,53.25111,6.184576,0.06814595,77.616,64.86526,11.76243,91.2,65.08798,0.000002519997,2.73,16.5383,0.002375941,1.44676,9.365348,27.44961,25.17028,2243,3485,13.5,19.6,30158770,333292200000,680552000
PHL,10.60809,3.649873,1.405205,3.966941,59.56,60.44087,7,60.99841,90.8,71.8,14.1,10.4,25.2,1.275,0.002253625,44.1,5967.489,0.07757077,-0.05430249,3.517032,31.09485,,36.83522,8.5,91.69288,1.285692,0.0348552,44.81,62.81909,3.182755,87.5,45.87976,,2.8,12.8877,0.0003286913,9.840247,,30.81905,34.08039,1,24537,21.6,25.85,96017320,590801300000,1018560000
PLW,,,,,,,,78.67599,,100,,,,1.2997,,,14882.88,-0.5578845,1.211807,3.397155,72.00036,,,,,10.1023,,85.039,,,59.32891,98.35986,,,,0.06916095,1.101894,,60.72544,90.28442,,,,27.6,20756,280414300,
PNG,,,,,,49.42825,2.5,37.63111,39.9,18.9,,30.2,39.9,0.0529,0.001306662,50.2,3145.863,-0.7690706,-0.03569432,6.995893,80.29124,,4.243659,,97.82026,-0.4143964,,12.982,58.78196,33.50269,18.10671,31.74,,2.2,,0.05495776,0.09260777,,,,1,14741,20.1,25.25,7154870,18072930000,
POL,74.76879,18.09779,6.876806,31.94587,101.54,65.88056,10.1,82.46999,98,95.7,2.5,0.2,17.3,2.219,0.01082503,31.6,23218.11,0.664091,1.04002,3.243089,69.17048,11.31258,64.41412,12.7,35.46552,1.47093,0.5825317,60.688,70.97026,2.362651,100,100,0.0003867256,3.1,15.91174,,1.397163,40.45097,44.44359,44.88387,13126,1616,3.8,7.85,38063160,898235800000,2845937000
PRI,,,,,,69.31425,14.6,,,99.3,,,,,0.007390864,51.9,34622.06,0.4088827,0.6646183,-1.169938,,,,,,,0.8086883,93.722,66.59451,,90.87544,,,,,,,,57.45248,45.8586,,,,,3634487,124561900000,
PRK,,,,,55.36,62.69684,,,,,42.1,,,3.4389,,,,-1.928125,-2.179177,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.7,,,507128000
PRT,66.04491,21.88183,9.898102,18.07778,110.27,69.41132,15.6,72.76147,99.9,99.5,2.5,0.6,,4.0752,,34.7,25787.73,1.034001,0.9967152,-2.665263,64.0308,,,18.9,30.28127,10.16357,0.5522669,61.758,65.87355,0.5990907,100,100,0.0003274418,3.42,20.88178,,0.2132263,29.32213,37.77802,38.27282,1818,1874,10.2,15.15,10514840,285216800000,694452000
PRY,29.4048,10.38569,3.621479,10.33568,68.67,65.1062,4.9,58.73222,93.4,85.4,12,3.1,31.4,1.2859,0.005025582,46,9827.019,-0.8991864,-0.1436983,0.1573801,44.4994,19.60245,52.27019,4.9,,3.028722,0.09446037,58.94,62.75573,4.738338,98.2,57.55194,,2.41,12.79424,0.005294702,2.576486,19.37867,36.87652,35.68381,552,13928,17.7,23.55,6379162,47506740000,187578000
PSE,,,,,,63.13216,23,,65.1,92.2,,0.6,25.8,,0.001157923,38.4,4568.509,-0.7532701,-0.8810189,7.849061,,,12.95802,,25.34833,0.5584106,0.07586052,74.577,55.73304,,97.69783,,,,4.562388,0.184873,15.40019,,16.58865,55.85315,412,7936,,,4046901,19955280000,
PYF,,,,,98.12,,,,100,98.4,4.1,,,,,,,,,0,,,,,,,,56.218,70.2818,,59.32891,,,,,,,,,,,,,,273775,,
QAT,328.6387,73.16096,23.93204,26.48956,,67.20735,0.5,68.56867,100,98,,,,2.8424,0.004876902,41.2,120366.3,0.945449,-0.7999419,2.055216,84.94442,11.80998,,,75.57565,0.2080401,0.4316281,98.946,84.47582,38.0846,97.69783,99.99,,3.23,14.65495,,0.4221438,,76.47241,29.27387,,,21.3,27.15,2015624,272959300000,662412000
REU,,,,,,,,,,,,,,,,,,0.997093,1.280952,,,,,,,,,,,,,,,,,,,,,,,,16.4,,,,
ROU,50.52957,11.20294,3.578017,20.48381,103.52,64.22175,7,74.78943,99,78.3,2.5,5.6,23,2.5959,0.004197071,31.9,18361.21,-0.3140972,0.3012666,1.322019,80.2687,8.43579,83.68855,26.7,7.565658,1.775304,0.2616906,54.091,67.94166,2.470159,100,79.00285,0.0002067999,2.51,17.95574,,0.4271227,28.59321,37.40895,42.53348,12721,2614,3.8,8.8,20058040,379303000000,1013524000
RUS,131.1317,27.37276,7.394061,42.61241,103.47,60.62721,5.5,77.99555,96.6,72.2,2.5,0.1,10.7,4.0276,0.008962095,42.4,25156.42,-0.4256238,-0.9759921,3.762543,55.17562,11.14676,,32.7,38.03157,2.331067,0.317189,73.786,71.43595,20.35192,100,99.27098,0.001009848,2.45,13.99647,,0.2666977,21.01435,26.88345,20.22611,19682,1707,-10.1,-5.1,143201700,3625385000000,18778280000
RWA,,,,,57.54,57.3829,0.6,47.81667,74.3,59.1,32.5,41.3,39.1,0.0998,0.0004344872,45.6,1575.88,-0.06033417,-1.25679,5.66467,36.93694,15.92128,56.25723,,,2.213608,,25.894,55.12588,6.427135,18,1.999998,,1.88,13.66855,0.1328886,2.526509,,12.62521,31.38272,4,5057,11.9,17.85,10817350,16341530000,
SAU,189.2371,57.16261,23.74522,26.16869,91.1,65.10466,5.6,72.06588,97,100,5.7,,,2.4588,,,49541.42,0.02586319,-1.811445,5.051565,71.23938,,,,50.87156,1.659824,0.1933442,82.51,67.73249,48.70845,97.69783,99.99,0.00001006915,3.22,,,0.03350611,,54.27084,29.24095,1506,9944,18.2,24.65,29496050,1466824000000,5581747000
SDN,11.10589,3.120086,0.5823016,6.209997,68.97,58.34369,14.6,30.59556,55.5,23.5,23.5,13.6,46.5,0.28,,32.9,4074.022,-1.457651,-1.770111,8.334171,22.82569,,7.448155,,,3.687194,0.00262513,33.315,55.29733,9.766763,32.56256,27.90427,0.000000344714,2.01,,0.021785,0.9504766,,9.219192,15.50181,237,14852,19.4,26.9,37712420,146082700000,418830000
SEN,8.232592,2.083656,0.5014474,4.744811,59.52,57.48191,10.3,36.78111,76.3,46.1,13.3,29.6,46.7,0.3103,0.001088526,35.2,2800.412,-0.4708664,-0.03614125,-0.04905462,50.56303,,18.27141,22.4,,1.966266,0.04223624,42.781,53.27166,6.388183,56.5,39.26889,,2.31,19.18222,0.07889553,11.49044,,22.25665,39.00152,92,17383,20.8,27.85,13780110,30664820000,113446000
SGP,129.5629,21.34256,16.16226,17.94054,,73.21474,2.8,75.88889,100,100,,,,1.83,0.0006447135,40.2,77492.63,2.151905,0.07670367,2.576852,35.54654,20.94088,,19.4,264.487,19.7567,0.1554465,100,73.51344,0.0004983452,100,100,,4.15,13.85384,,,,196.7196,172.4933,,,22.6,26.45,5312437,409978000000,688295000
SHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.1,,,,
SLB,,,,,56.74,56.55118,3.8,40.54988,80.5,28.9,12.1,21.4,12.7,0.1559,0.002531129,44.3,2102.19,-0.8243815,-0.04848881,6.416512,92.96271,,,,,2.329619,,20.964,56.27156,36.2399,22.80671,8.701002,,2.03,,0.3664469,2.021515,,59.70601,61.17234,,,,25.65,549162,1132622000,
SLE,,,,,56.6,49.01752,3.4,30.45,59.5,12.8,23.7,38,52.9,0.025,,33.8,1413.881,-1.204362,-0.3508093,8.097708,17.6309,14.12596,30.19532,,,18.74815,,38.885,54.16545,9.250648,14.2,1.999998,,2.5,,0.1383739,1.674716,,32.90533,60.36879,1,22255,21,26.05,6043157,9795347000,
SLV,18.36557,7.160463,1.383346,5.823064,71.98,63.88944,6.1,55.32619,91.6,72.6,12.2,4.1,34.5,1.596,0.001139284,39.4,6646.159,-0.1430124,-0.07360041,1.76326,62.8011,,60.1891,9.8,45.11275,1.880058,0.03631135,65.287,63.30291,1.626584,93.7,79.27968,,2.46,14.53287,0.0101731,16.361,11.16462,28.57131,49.07785,1,13391,18.4,24.45,6072233,47726910000,111520000
SMR,,,,,,,,,,,,,,5.1411,,,59923.91,,1.211807,0,93.39552,,,,,,,94.123,,,100,100,,,,,,29.63717,,,,,8.2,11.85,31172,,
SOM,,,,,,49.68867,6.9,,,,,,,0.02895,,,,-2.225444,-2.233534,0,,,,,,,,38.153,49.7291,,32.70795,4.583317,,1.5,,,,,,,1,17788,21.3,27.05,10033630,,
SPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,50.30659,10.21937,9.720551,23.02448,82.52,64.49837,23.9,69.54444,99.2,96.5,6.1,5,24.5,2.4913,0.006146343,33.9,13719.66,-0.1137179,0.1836556,0.8264184,61.16344,9.59923,65.49812,27.9,8.727922,3.132126,0.2610194,55.307,67.39529,4.096661,100,68.63474,0.0001112643,2.62,19.72139,0.02862918,8.709954,35.53748,35.84481,49.62602,11498,2484,,10.55,7199077,93588530000,362161000
SSD,,,,,,49.84932,,,,,,33.3,50.1,,,42.6,1622.023,,,,,,,,,,,,,,,,,,,,,,42.83205,28.78776,12,16995,,,,,22712000
STP,,,,,53.03,59.68586,,46.91658,97,34.4,14.6,26.8,66.2,0.32,,27.3,2638.597,-0.7166464,0.1428682,2.454031,28.85234,13.71965,,,,8.460896,,63.265,53.48211,2.901236,60.46256,28.76522,,2.24,13.89561,0.2324878,2.394226,,,,,,,23.75,178484,528293000,
SUHH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR,,,,,62.23,63.08885,6.3,58.83803,94.8,79.3,8.3,,,0.7088,,,15015.72,0.00908277,0.287683,3.134108,52.83019,,,,,3.402453,0.3168078,66.208,65.47759,21.07397,100,88.57449,,,19.54745,0.008629207,0.161797,,,,,,,25.7,528535,8307583000,
SVK,79.28742,17.91578,7.446771,27.26026,69.14,65.48982,13.9,80.21,100,98.8,3.9,0.3,12.8,3.3833,0.01014668,25.6,26498.51,0.8264281,0.9456594,2.027822,69.72459,9.79439,88.6191,13.6,4.954943,1.909467,0.3931242,54.163,72.06821,0.5382301,100,99.95227,0.0004469856,2.99,12.13193,,2.071881,42.8503,91.03588,85.51661,13326,1989,2.1,6.8,5407579,141090700000,428753000
SVN,101.1939,38.71067,11.32241,33.43786,98.26,67.77528,8.8,86.30833,99.5,99.1,2.5,0,14.5,2.5374,0.01895089,26.1,28108.66,1.018601,0.9814042,-1.255244,72.63493,12.63184,,26.5,14.0027,0.07255208,0.566909,49.856,68.606,0.3910894,100,95.79347,0.0003606916,3.24,17.55027,,1.394246,39.82349,72.89159,69.49284,13571,1387,4.2,8.9,2057159,58591490000,208172000
SWE,144.9294,33.18306,26.34469,52.38842,105.25,70.38442,8.1,83.0134,100,99.3,2.5,0.4,,4.0396,0.06088258,25.7,43896.93,1.941426,1.708233,0.4248023,84.35164,15.2498,,67.5,,0.7999724,0.5271355,85.363,64.52983,1.141794,100,100,0.0006738888,4.13,26.06779,,0.7483168,9.686324,45.20081,40.64638,13796,253,-2.1,2.1,9519374,422981300000,1379637000
SWZ,,,,,,42.46009,22.5,55.12889,74.2,57.5,,,,,,60.5,,-0.5492514,-1.196433,0.5623341,71.8792,,51.6493,,,1.826246,,21.374,58.40355,2.52707,42,38.37492,0.000000081189,,,0.02439437,0.6373812,,,,636,7524,15.5,,1231694,9694225000,
SYC,,,,,,64.88036,,63.59289,95.7,98.4,,0.9,39.3,1.0076,0.005956762,40,22618.01,0.3756714,0.08462796,8.134079,93.01177,,,2.1,,54.0621,,52.915,70.13774,0.1498898,100,99.77663,,,28.40093,0.03230519,1.557752,6.072866,99.32936,117.1538,,,24.5,27.15,88303,2141482000,
SYR,19.54621,6.159943,2.387236,5.283062,,58.55605,11.4,55.31916,90.1,95.7,,,,1.4978,0.003497365,,,-1.221849,-1.796097,0,46.30872,,,,,,0.2854532,56.459,59.9437,,96.26256,99.99,0.00009294873,2.54,,,,,,,4096,7118,10.8,17.75,19978760,,390509000
TCA,,,,,,,,,,,,,,,,,18952.3,,,0,,,,,,,,91.09,,,90.87544,,,,,,,,,,,,,,32430,,
TCD,,,,,62.77,49.26563,7,25.58519,50.7,12,37.6,30.8,46.7,0.0416,0.003145776,38.4,1950.654,-1.492773,-1.346059,0.9718657,47.39277,,,,,4.687821,,22.129,49.07012,31.28328,6.4,4.790998,,2,,0.04127518,,,38.46806,42.10757,267,15358,18.6,26.55,12715470,25398010000,
TGO,12.33029,2.580652,0.3651279,9.270661,58.14,52.54821,7,51.44222,61.1,11.5,19.2,40.6,58.7,0.2022,,39.1,1334.661,-1.325619,-1.042283,2.057886,38.11312,17.68043,,,,3.14276,0.02490519,38.493,54.56628,10.68799,31.46256,4.751754,,2.46,16.60055,0.06989609,8.916328,,46.58844,60.39771,29,20115,21.8,27.15,6745581,8797506000,83175000
THA,57.24466,13.89018,4.982109,11.18384,60.38,68.17131,0.7,60.79653,97.1,93.2,8.4,0.2,12.6,0.3905,,42.1,14450.01,0.2074008,-0.3446989,3.617036,85.03819,21.39677,98.99918,3.5,98.10356,3.245621,0.1898236,46.682,72.03838,4.113654,100,75.86174,0.0001117263,3.08,15.45133,-0.0002404894,1.186381,4.406915,69.75546,68.72372,8,19740,21.2,26.3,67164130,997610900000,3844788000
TJK,10.74666,0.581773,1.588086,1.588086,61.72,61.16866,11.1,63.94444,71.7,94.4,,5.7,34.3,1.7009,,43.3,2359.552,-0.9332111,-1.393574,5.057597,29.37486,16.35024,39.28873,,,2.597658,,26.568,61.61047,2.203429,100,68.58625,0.000003026127,2.03,,0.06032642,47.49764,,17.27728,65.89867,19853,804,-3.9,2,7930929,18925790000,85231000
TKM,136.978,21.9438,1.418535,58.72269,90.85,61.39908,10.8,67.87129,,,4.9,,,2.2376,,,12235.23,-1.29339,-2.210359,11.44768,64.90607,20.79551,,,,8.900018,,49.023,67.35973,36.82391,100,99.99,0.000350091,2.152215,,0.00134234,0.105505,,58.83274,50.50091,10073,4624,8.7,15.1,5172941,65641230000,708579000
TLS,,,,,57.66,60.87697,4.1,47.24067,71.2,39.8,26.7,26.3,41.8,0.19395,,,10174.26,-1.193464,0.05710651,3.980255,90.85897,6.66565,,,,3.118335,,30.832,53.62479,,41.56256,6.774754,,,,0.2549265,9.255584,,97.88206,35.95543,1,23723,,25.25,1148958,2385219000,
TON,,,,,,61.98524,,72.03333,99.4,91.3,,1.7,22.5,0.5223,0.006490469,40.3,5239.055,-0.1937221,0.3914704,0.8823037,80.7044,,1.288274,,,0.3922768,,23.498,56.84029,0.06569313,95.86256,55.35202,,,,0.1974974,25.72389,,17.01204,60.7578,,,22.5,25.25,104769,537758800,
TTO,418.4182,32.51318,9.084817,13.58474,81.39,65.16544,5,70.03207,95.1,91.5,7.5,,,1.8212,0.007149784,,31172.35,0.4025942,0.4566493,0.1769662,50.06775,,,19.8,,9.979075,0.2743036,8.795,70.56461,29.32231,99.8278,99.99,,,27.64161,,0.5128709,5.809109,,,,,21.5,25.75,1341579,41014630000,561341000
TUN,28.51626,8.406495,2.760844,9.856461,99.66,66.58022,14,62.14556,96.9,90.3,4.5,2.3,20.5,1.24455,0.001801717,33.9,10442.27,-0.04855794,-0.2179137,-0.4691541,57.91954,21.61525,14.42593,20.4,21.09111,3.450544,0.1186732,66.274,69.36404,7.18329,100,99.96055,0.0001423336,2.88,21.12786,0.02392928,5.029982,25.4607,48.54622,57.98486,1838,7461,13.5,19.2,10777500,115023600000,307334000
TUR,48.84971,9.634868,4.616764,18.24395,107.53,67.0471,9.2,65.20237,99.5,93.7,2.5,0.7,16.3,1.7403,0.00515375,40.5,20259.44,0.4037693,-0.2296157,3.594851,79.23682,,51.35054,6.3,39.95591,1.683942,0.1713713,71.834,66.41447,0.6663542,100,95.85126,0.0000614302,3.62,20.37735,0.003991965,0.2384444,27.22836,23.66737,28.57794,10165,2802,5.4,11.1,74849180,1380911000000,3656361000
TUV,,,,,,,,,97.7,83.3,,4.3,26.3,1.0042,0.000811359,42.4,3027.938,-0.6871995,0.6983551,4.057157,99.03886,,,,,3.322928,,56.815,,,44.56256,82.20535,,,,0.6681345,9.619626,,,,,,24.9,28,9860,35031860,
TWN,,,,,,69.61761,,,,,,,,,,30.7,,,,,,,,39.3,,,,,,,,,,,,,,,,,,,,,,,2733527000
TZA,16.60434,1.355084,0.2229385,11.69704,56.9,54.82773,3.2,42.58889,55.4,14,32.9,36.3,28.2,0.0302,0.001777587,43.5,2362.932,-0.6925336,-0.1835858,3.185833,48.77494,,24.97033,31.5,,4.604118,0.006989311,29.493,51.66159,8.735985,15.3,4.235655,,2.41,11.68392,0.07975194,0.9981104,0.00002971593,22.37207,31.99752,43,6994,16.7,22.35,48645710,108131700000,807730000
UGA,,,,,53.71,53.11847,4.2,47.86437,75.8,18.5,32.3,28.2,19.7,0.0928,0.0005649619,37.8,1689.777,-0.5680426,-0.479854,3.551531,28.40234,12.60984,60.71393,,31.3903,5.18739,0.01129924,15.115,48.77493,12.58726,18.16256,2.558482,,2.35,10.98664,0.07164388,3.930233,,20.21672,33.12177,1,7179,16.6,22.8,35400620,60056950000,
UKR,66.6213,10.82582,4.850932,26.13406,88.33,61.91876,7.5,79.55111,96.5,95.8,2.5,0.1,9,3.4991,0.003721907,25.3,8322.173,-0.5832726,-0.2860896,2.981424,55.228,13.66552,71.3867,54.7,15.72328,4.650663,0.1953577,69.072,70.15073,10.83581,100,96.02158,0.001079172,2.69,18.31654,0.005482749,4.806539,34.40094,47.72078,56.37228,13046,2880,4,8.3,45593300,386275600000,3037485000
URY,46.61304,13.82438,7.175382,13.58856,88.4,66.69525,6.5,71.22624,99.3,95.9,2.5,0.2,12.4,3.736,0.02288421,37.3,18574.73,0.4449588,1.027336,4.003286,68.03836,,79.82296,29.2,,5.011596,0.2293169,94.803,63.82121,2.40562,99.5,98.84518,,2.87,18.82189,0.000450948,0.2375133,32.29166,25.91963,29.14153,1875,6242,12.2,17.55,3396753,63919670000,158333000
USA,191.3782,79.62447,30.93298,60.16206,109.68,66.96291,8.2,88.97592,99.1,100,2.5,1,,2.5041,0.02096961,37.7,50632.45,1.511175,1.133208,1.137817,47.25972,,,10.8,115.5558,1.504223,0.8006845,81.108,67.01846,1.487398,100,100,0.0000303022,4.14,9.821101,,0.03901517,34.46069,13.52892,17.03926,7739,5539,2.2,8.55,314102600,16155260000000,60112400000
UZB,50.0363,4.301903,1.35962,25.28627,81.96,60.64334,10.8,65.11111,87.3,100,7.4,,15,2.4375,,,5821.528,-0.9396484,-2.005132,6.023669,48.16663,,,,,1.100043,,36.182,66.67232,24.37555,100,87.78059,0.000101597,2.25,,0.005647817,11.12332,,21.38795,20.12017,11964,3098,5.8,12.05,29774500,142655300000,1489806000
VCT,,,,,85.65,63.69559,,65.6834,95.1,,6,,,0.6587,,,10091.74,0.8375437,1.033534,0.4660964,51.9446,,,4.9,,16.65415,,49.495,67.40355,0.06629845,75.90575,99.99,,,,0.01272349,4.489474,,27.17431,58.02864,,,,26.8,109334,1114434000,
VEN,68.32153,25.22396,5.755866,9.746824,75.21,66.11644,8.1,68.24826,92.9,94,4.8,,27.2,,0.003221955,36.8,17998.3,-1.136799,-0.9223369,3.379452,34.89746,,,0.2,,1.307679,0.1694902,88.851,65.19154,25.70708,100,93.50188,,2.17,,0.0001128704,0.03094788,,26.17101,24.23255,1,17952,20.3,25.35,29854240,538208900000,2039687000
VG,,,,,,,,,,97.5,,,,,,,,,,0,,,,,,,,45.253,,,,,,,,,,,,,,,,,28511,,
VIR,,,,,,65.56247,,,100,96.4,,,,,,,,1.256923,0.8380574,0,,,,,,,,94.916,64.23135,,90.87544,,,,,,,,80.04884,76.04395,,,,,105275,,
VNM,23.26735,4.654574,1.97001,8.753192,80.65,65.18825,1.8,51.34889,93.8,73.1,12.2,3.3,17.2,0.815,0.002200988,39.6,4856,-0.2906829,-1.386534,4.619408,53.45129,21.43734,57.73924,14.6,19.65733,5.370299,0.02071857,31.668,70.26419,12.32527,99,51.0586,0.00005132351,2.68,,0.02957898,6.417661,,80.02862,76.52531,142,17369,20.6,24.45,88809200,444113900000,2066355000
VUT,,,,,68.04,55.94083,,59.55111,90.9,57.9,6.3,12.7,12.7,0.1859,,39.6,2875.762,-0.2227292,0.4720519,-0.8340418,85.54752,,,,,7.725255,,25.2,58.33502,1.260058,27.07681,14.96395,,,15.98578,0.1337721,2.819043,,49.08789,50.83891,,,,23.95,247498,730716400,
WLD,52.86041,14.83507,4.7783,16.65812,,,5.994816,,89.48913,65.9299,11.3,11.4,,1.502126,,,13880.26,,,2.403748,60.21875,14.25253,,,77.67368,2.689382,,52.45517,65.72082,5.059873,84.58465,58.57581,,2.76948,14.38031,0.001935364,0.6728842,,30.63278,29.94839,,,,,7089452000,99396280000000,374751300000
